date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:46	305/305	---MCZ	200	added ('OK')	text/plain	etag:W/%22212-flEM4rPfMEkvZxGEziAuE1knF9Y%22	https://www.eazygrad.com/robots.txt		(from )
11:01:17	1658066/1658066	---MCZ	200	added ('OK')	text/html	etag:W/%220a53006dd683ace81e1b2db169bc60e5%22	https://www.eazygrad.com/	C:/Users/123/Desktop/scnd/www.eazygrad.com/index.html	(from )
11:01:17	9738/9738	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2007:14:48%20GMT	https://static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg	C:/Users/123/Desktop/scnd/static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg	(from https://www.eazygrad.com/)
11:01:18	1520/1520	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Dec%202024%2008:37:42%20GMT	https://static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg	C:/Users/123/Desktop/scnd/static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg	(from https://www.eazygrad.com/)
11:01:18	9057/9057	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Dec%202024%2007:14:48%20GMT	https://static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e~mv2.jpg	C:/Users/123/Desktop/scnd/static.wixstatic.com/media/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/2ae72b_01e9d1eb921e477b92a813241f353d4e_mv2.jpg	(from https://www.eazygrad.com/)
11:01:19	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/123/Desktop/scnd/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.eazygrad.com/)
11:01:22	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/123/Desktop/scnd/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.eazygrad.com/)
11:01:23	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Dec%202024%2005:31:22%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/123/Desktop/scnd/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.eazygrad.com/)
11:01:32	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2005:31:31%20GMT	https://www.eazygrad.com/c	C:/Users/123/Desktop/scnd/www.eazygrad.com/c.6.delayed	(from https://www.eazygrad.com/)
11:01:33	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2005:31:33%20GMT	https://www.eazygrad.com/t	C:/Users/123/Desktop/scnd/www.eazygrad.com/t.7.delayed	(from https://www.eazygrad.com/)
11:01:34	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2005:31:33%20GMT	http://in.fw-cdn.com/30500270/275986.js	C:/Users/123/Desktop/scnd/in.fw-cdn.com/30500270/275986.8.delayed	(from https://www.eazygrad.com/)
11:01:34	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2009%20Dec%202024%2005:31:33%20GMT	https://in.fw-cdn.com/30500270/275986.js	C:/Users/123/Desktop/scnd/in.fw-cdn.com/30500270/275986.9.delayed	(from https://www.eazygrad.com/)
